Date,S,I,R,D,p_SI,p_IR,p_ID
2022-03-20,259223037,219688,5589057,153738,2.2845191802918348e-05,0.0720521830960271,0.0006327154874185209
2022-03-21,259218338,203345,5609945,153892,1.8127575526697498e-05,0.10272197496864933,0.0007573335956133665
2022-03-22,259210874,181555,5639029,154062,2.8795088280131335e-05,0.1601938806422296,0.0009363553744044504
2022-03-23,259204498,168563,5658238,154221,2.4598338567411744e-05,0.11395739278489349,0.0009432675023581688
2022-03-24,259198690,155977,5676510,154343,2.2407520655293436e-05,0.11714547657667476,0.0007821666014861165
2022-03-25,259193833,146004,5691220,154463,1.873887176937578e-05,0.10075066436535986,0.0008218952905399852
2022-03-26,259189644,139143,5702163,154570,1.616191116030855e-05,0.07864570980933284,0.0007689930503151434
2022-03-27,259186567,129621,5714662,154670,1.1871757227294886e-05,0.0964272764444033,0.0007714799299496223
2022-03-28,259183769,122014,5724963,154774,1.0795429091857987e-05,0.08442473814480306,0.0008523612044519481
2022-03-29,259179874,115709,5735055,154882,1.5028173059455998e-05,0.08721879888340578,0.0009333759690257457
2022-03-30,259176034,111555,5742931,155000,1.4816184740291226e-05,0.0706019452288109,0.0010577741921025503
2022-03-31,259172702,106927,5750802,155089,1.2856292249482354e-05,0.07361096823066204,0.0008323435614952257
2022-04-01,259169772,100746,5759838,155164,1.1305330777541448e-05,0.08969090584241558,0.0007444464296349235
2022-04-02,259167472,98171,5764636,155241,8.874570493939146e-06,0.048873903698648274,0.0007843456825335385
2022-04-03,259165539,95990,5768703,155288,7.4585533534225014e-06,0.04236899677049693,0.0004896343369100948
2022-04-04,259163878,90235,5776058,155349,6.409072177875035e-06,0.0815093921427384,0.0006760126336787278
2022-04-05,259161596,85204,5783299,155421,8.805316972966937e-06,0.08498427303882447,0.0008450307497300596
2022-04-06,259159196,82146,5788714,155464,9.260717107642208e-06,0.06591921700387116,0.0005234582329023933
2022-04-07,259157107,78302,5794602,155509,8.060747490903268e-06,0.07519603586115298,0.0005746979642920998
2022-04-08,259155352,76568,5798044,155556,6.771999831205492e-06,0.04495350538083795,0.0006138334552293386
2022-04-09,259153884,74130,5801909,155597,5.664588071541309e-06,0.052138135707540806,0.000553082422770808
2022-04-10,259152813,72679,5804402,155626,4.132696796156328e-06,0.03430151763232846,0.0003990148461041016
2022-04-11,259151617,69849,5808380,155674,4.615058990737457e-06,0.05695142378559464,0.0006871966670961646
